Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Горошек консервированный,4459,711,Бакалея,Помогает улучшить работу мозга и повысить концентрацию внимания.,2016-08-03,2028-07-06,1.56,Refunded
2,Волжанка,3463,225,Напитки,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2011-04-03,2012-01-08,2.1,In Stock
3,Рыбинская,156,853,Напитки,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",1996-02-01,2011-01-06,1.66,Delivered
4,Чеддер,2860,759,Молочные продукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2011-10-01,2017-02-03,4.02,Backorder
5,Брюква,3462,269,Овощи,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2021-07-15,2024-02-14,3.24,Awaiting Review
6,Глинтвейн,5273,525,Напитки,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1999-04-01,2010-04-07,1.6,In Stock
7,Апельсин,380,669,Фрукты,Помогает предотвратить дефицит витаминов и минералов в организме.,1996-08-02,2021-02-08,0.66,Awaiting Payment
8,Смородина,1407,553,Фрукты,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2002-01-05,2021-01-06,4.31,Out of Stock
9,Картофель,6716,108,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1996-01-23,2009-01-11,2.69,Temporarily Unavailable
10,Сельдерей,9065,210,Овощи,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2008-02-13,2022-04-05,4.02,Available for Pickup
11,Каша из ржи,8885,988,Бакалея,Является важным компонентом сбалансированного рациона питания.,2020-01-04,2020-04-03,4.09,Awaiting Payment
12,Скалки,821,63,Товары для дома,Подходит для использования в качестве основы для смузи и коктейлей.,2005-09-09,2029-05-07,4.65,On Backorder
13,Каша из камута,8820,858,Бакалея,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2007-06-01,2012-03-01,2.64,Backorder
14,Пакеты для Дня учителя,3968,844,Товары для дома,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2002-06-01,2025-11-02,1.79,Awaiting Review
15,Хурма,1666,34,Фрукты,Отличается низкой калорийностью и высоким содержанием белка.,1999-03-19,2025-02-01,0.22,Pending
16,Севастопольская,1889,833,Напитки,"Подходит для людей всех возрастов, включая детей и пожилых.",2019-01-22,2026-10-07,1.4,Cancelled
