product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Солнечногорская,5673,333,Напитки,Отличается простотой в использовании и хранении.,1995-01-01,1998-01-08,3.47,Backorder
2,Мука пшеничная,1729,774,Бакалея,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2004-04-16,2026-01-01,3.5,Delivered
3,Кровяная колбаса,3116,294,Мясо,Помогает сохранять бодрость и активность в течение дня.,1993-02-01,2001-02-02,4.73,Shipping
4,Матрасы,5607,652,Товары для дома,Помогает поддерживать нормальный уровень энергии и выносливости.,2017-01-08,2030-02-12,2.01,Pending
5,Бамия,1970,299,Овощи,Способствует поддержанию нормальной микрофлоры кишечника.,2001-06-02,2023-03-20,4.29,Refunded
6,Пакет для заморозки,3995,966,Товары для дома,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2000-08-05,2016-06-07,1.57,Returned
7,Масло сливочное,6079,333,Молочные продукты,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2014-04-05,2019-04-14,3.31,Cancelled
8,Малина,6322,605,Фрукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1998-07-22,2004-03-16,0.18,Delivered
9,Укроп,4987,961,Овощи,Прошел сертификацию на соответствие требованиям органических стандартов.,1996-03-03,1999-01-01,4.54,Available for Pickup
10,Фейхоа,5049,571,Фрукты,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",1994-05-04,2015-05-07,0.61,In Stock
11,Ананас,7481,137,Фрукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1992-05-25,2007-08-24,1.04,Awaiting Payment
12,Куриные голени,7542,770,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2003-05-16,2021-06-01,2.02,Awaiting Payment
13,Масло подсолнечное,2589,727,Бакалея,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1992-02-12,2000-05-10,2.86,Refunded
14,Турнепс,6788,52,Овощи,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1995-01-13,2014-01-02,0.24,Returned
15,Клубника,8648,945,Фрукты,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",1997-07-02,2020-02-01,3.62,Awaiting Review
16,Fantastic,6981,717,Напитки,"Помогает улучшить состояние волос, ногтей и кожи.",2008-03-06,2030-07-01,4.45,Awaiting Payment
17,Ряженка,3354,111,Молочные продукты,"Подходит для приготовления как горячих, так и холодных блюд.",2003-02-19,2017-02-12,0.73,Pending
18,Колбаса копченая,9400,656,Мясо,Отличается хорошей совместимостью с другими продуктами питания.,2009-06-08,2024-06-07,3.73,Returned
19,Пакеты для растений,9282,940,Товары для дома,Помогает поддерживать нормальный уровень кислотности желудка.,2014-07-07,2022-03-10,3.89,Awaiting Review
20,Редис,5602,674,Овощи,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2019-06-12,2029-02-13,4.73,In Stock
21,Кофе молотый,1918,448,Бакалея,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2015-01-03,2017-01-01,1.41,Awaiting Review
22,Капуста белокочанная,3674,761,Овощи,Идеален для перекусов между основными приемами пищи.,2006-07-02,2025-06-13,1.35,Out of Stock
23,Колбаса копченая,9276,140,Мясо,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2004-02-26,2012-01-01,4.71,New
24,Щавель,4133,703,Овощи,"Богат кальцием, необходимым для укрепления костей и зубов.",2004-08-09,2023-01-10,3.32,Backorder
25,Серебряный ключ,3442,589,Напитки,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2016-03-07,2024-04-07,1.73,Refunded
26,Мороженое,5540,824,Молочные продукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",1995-04-10,2030-02-03,0.01,Sold
27,Рамбутан,1922,5,Фрукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1991-04-06,2025-04-08,1.39,Available for Pickup
28,Айран,1091,36,Напитки,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2006-01-01,2024-07-03,2.36,Refunded
29,Солнечногорская,1679,453,Напитки,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2016-03-04,2025-03-01,1.79,On Backorder
30,Плавленые сырки,7960,318,Бакалея,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1993-02-12,2027-01-11,3.49,Pending
31,Капуста белокочанная,1521,702,Овощи,Отличается гипоаллергенностью и безопасностью для большинства людей.,2021-04-13,2023-02-02,2.04,Out of Stock
32,Пицца с мясом,7870,641,Мясо,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2010-11-07,2015-03-18,1.7,Delivered
33,Мацони,7790,74,Молочные продукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2014-05-16,2021-01-04,1.28,Available for Pickup
34,Пакеты для аукциона,785,194,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,2013-02-25,2027-01-13,1.5,Out of Stock
35,Рязанская,2394,982,Напитки,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1998-06-01,2010-01-01,2.02,Available for Pickup
36,Полотенца для рук,4418,32,Товары для дома,Может быть использован в выпечке для придания ей особой пышности и аромата.,2001-06-07,2002-06-01,4.4,Awaiting Review
37,Фенхель,4322,887,Овощи,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2022-04-02,2026-06-01,0.72,Awaiting Review
